Key,Description,Standard,Kobun
SAY.Flowchart.362.旅人,,なんだって！！？,あなや！
SAY.Flowchart.365.旅人,,ってことはもしかして、お前のその右腰にぶら下げている剣は、,然るべくして、其方のその腰に携ふ剣は、
SAY.Flowchart.363.旅人,,"{punch=3,1}{size=70}勇者の剣じゃないか！！！{/size}","{punch=3,1}{size=70}勇気之剣か！！！{/size}"
SAY.Flowchart.364.受付,,ええええええええええええええ！！！！！,あなや！あなや！
SAY.Flowchart.366.旅人,,新人さん、心して聞いてくれないか。,新人や、心して聞き給へ。
SAY.Flowchart.369.旅人,,この世界はせいぜい後一週間で終わる。,世の命、僅かに日頃なり。
SAY.Flowchart.371.{$player_name},,！？,！？
SAY.Flowchart.370.旅人,,さっきの大きな音、「二階のヌシ」って聞いたことあるか？,大きなる音を聞きては、其方、「二階のぬし」を知らぬか？
MENU.Flowchart.131,,二階？,二階？
MENU.Flowchart.132,,"""ヌシ""？",ぬし？
SAY.Flowchart.135.旅人,,"ああ、""ヌシ""はかつてこの地に封印された""ナイジェリアの主""のことだ。",ああ、”ぬし”とはかつてこの地に捕らえ封じたる物怪、”ナイジェリアのぬし”の事なり。
SAY.Flowchart.136.旅人,,100年前、この地でヌシを討伐したある勇者がその亡骸を二階の最奥「ナイジェリア」に封印したことからこの名で呼ばれている。,
SAY.Flowchart.137.旅人,,勇者の力は強力だった。しかし、100年という月日が流れた今、その封印の力は相当に弱まってしまっているようだ。,
SAY.Flowchart.138.旅人,,故に今、二階は魔物で溢れかえっている。,
SAY.Flowchart.139.旅人,,ああ、二階というのは、この街の上に位置する世界のことだ。,
SAY.Flowchart.140.旅人,,"かつては栄えた街であったが、100年前、ある勇者と""ヌシ""の戦いをきっかけにその全てが廃れてしまった。",
SAY.Flowchart.141.旅人,,"勇者は""ヌシ""を討伐し、その亡骸を二階の最奥「ナイジェリア」に封印した。\nこのため、そのヌシは「ナイジェリアの主」と呼ばれている。",
SAY.Flowchart.142.旅人,,しかし、今見た通りだ。100年という月日が流れた今、勇者の封印の力は相当に弱まってしまった。\n,
SAY.Flowchart.143.旅人,,故に今、二階は魔物で溢れかえっている。,
SAY.Flowchart.147.旅人,,封印がいつまで耐えられるのか、魔物はどこまで増え続けるのか。\nそれを調べるには二階の探索を進める必要があったが、広大で危険な大地を探索するには人手が足りなかった。,
SAY.Flowchart.148.旅人,,そこで立ち上げられたのが、この「冒険者ギルド」だ。\n我々の任務は「ヌシの復活を阻止すること」。,
SAY.Flowchart.149.旅人,,すまない、取り乱して話が長くなってしまった。\nまだこの世界に来てすぐなのにずっと会話していてもうんざりだろう。\nまずはその辺りを冒険してみるといいだろう。私はここで失礼するよ。,
SAY.Flowchart.157.受付,,二階かあ。君も興味あるかい？,
SAY.Flowchart.159.受付,,二階のことをもっと知りたいなら、「パチ」に聞いてみるといいよ。\nきっとこの階のどこかにいるはずだ。,
SAY.Flowchart.161.パチ,,"{punch=3,1}{size=70}おおおー、！君のその目！{/size}",
SAY.Flowchart.162.パチ,,分かるぞ、二階に行きたいんだろ！？,
SAY.Flowchart.163.パチ,,分かるぞ、、、,
SAY.Flowchart.164.パチ,,"僕は冒険者ギルド\n""迷える勇者たちにいい感じの一言をかける課""のパチだ！\n君の知りたいことを教えてくれ！",
MENU.Flowchart.166,,二階への行き方,
SAY.Flowchart.168.,,"いいか、まずこの世界は今、""１階""と""２階""で大きく隔てられている。\nそして今いるのが１階だ。",
SAY.Flowchart.373.,,君、「階段」って知ってるかい？,
MENU.Flowchart.375,,階段？,
MENU.Flowchart.377,,分からない,
SAY.Flowchart.331.受付,,パチなら二階について何か知ってるはずだ。\nその辺にいると思うから探してみな。,
SAY.Flowchart.379.パチ,,そうだな、崖は登ったことあると思うけど、あれって大変じゃん？\n昔の人たちは頭が良くて、沢山の小さな段差を少しづつ登っていく方法を編み出したんだよ。,
SAY.Flowchart.383.パチ,,ここにもその「階段」があって、右側の廊下を抜けると二階に簡単に辿り着けるんだ！,
SAY.Flowchart.384.パチ,,でもまずは一階をゆっくり探検するといいよ。\n二階は大変な世界だからね。大事な新人を手放すわけにはいかない。,
SAY.Flowchart.573.パチ,,"もしそれでも二階に行きたいというなら、""北西の森""に来てくれ。\nあそこにはモンスターがいるから、まずは腕試しをしよう。",
SAY.Flowchart.385.パチ,,それじゃ、僕は北西の森にいるよ。\n頑張れ！新人！,
SAY.Flowchart.387.パチ,,まずは一階をゆっくり探検してみな！,
SAY.Flowchart.392.パチ,,そうだな、ここが森だ。,
SAY.Flowchart.404.パチ,,ここは弱いモンスターの巣窟だから、\n少し歩けばすぐにモンスターが、、、\nって、うわ！,
SAY.Flowchart.427.パチ,,モンスターじゃないか！,
SAY.Flowchart.429.パチ,,出たなモンスター！あの、あ、あ\nすまねえ、俺さ、戦えねえんだわ。,
SAY.Flowchart.446.{$player_name},,！？,
SAY.Flowchart.430.パチ,,{$player_name}、集中して、敵に合わせて思いっきり剣を振るんだ！\nキミならできる！あとは頼んだ！,
SAY.Flowchart.416.{$player_name},,ここは危なそうだ。今は入るのはやめておこう。,
SAY.Flowchart.436.パチ,,"{punch=3,1}{size=70}{$player_name}！！！よくやった！！！{/size}",
SAY.Flowchart.437.パチ,,文句なし、期待していた通りだよ。,
SAY.Flowchart.438.パチ,,戦いの素質、底知れぬ勇気、\nそして何よりキミは僕の命の恩人だ。,
SAY.Flowchart.439.パチ,,冒険者ギルドには連絡しておくから、キミは二階に行って来な！キミならきっとできる！,
SAY.Flowchart.440.パチ,,二階の冒険も、ヌシの討伐もきっと・・・。,
SAY.Flowchart.452.,,モンスターを倒した！,
SAY.Flowchart.460.パチ,,それで、思いっきり剣を振ったんだ\nそしたらもう、あっという間だったよ！\n{$player_name}はすごいよ、本当に,
SAY.Flowchart.461.受付,,サインもらっときな〜〜,
SAY.Flowchart.468.{$player_name},,今はここを出るのは危なそうだ。,
SAY.Flowchart.475.{$player_name},,いくか。２階。,
SAY.Flowchart.497.作業員,,キミは冒険者かい？！,
SAY.Flowchart.502.作業員,,キミのような人が通りかかるのを待ち望んでいたよ・・・。\n少し困ったことがあって、良ければ助けてくれないか。,
SAY.Flowchart.506.作業員,,自己紹介が遅れてすまない。私はすぐ横の洞窟に派遣されて作業している作業員だ。\n発掘に明け暮れる日々で、今が何時かさえ分からないものだよ、ハハ。,
SAY.Flowchart.507.作業員,,事件が起きたのはついさっき。今日もいつも通り作業をしていて、\nそろそろ定時かななんて思いながら洞窟を出ようとした、ちょうどその時！！！,
SAY.Flowchart.508.作業員,,突然！目の前にモンスターが現れたんだ！！！,
SAY.Flowchart.509.作業員,,私は一目散に逃げ出してしまったよ。\n派遣社員は普段はモンスターなんてみないからね。,
SAY.Flowchart.510.作業員,,命こそ助かったから良かったのだが、\n一つ、洞窟に忘れ物をしてしまったんだ。,
SAY.Flowchart.511.作業員,,大した忘れ物じゃなければ良かったんだけれどもな、\n洞窟の奥のロッカーに、大事なシャベルを置いて来てしまった！,
SAY.Flowchart.512.作業員,,でも、モンスターがいる洞窟には入るなんて私には到底できないよ・・・。\n冒険者さん、どうかシャベルを取って来てくれないか！,
MENU.Flowchart.514,,任せて,
MENU.Flowchart.515,,OK,
SAY.Flowchart.500.作業員,,洞窟の一番奥にあるロッカーに「シャベル」を忘れたんだ。\nすまないが、頼んだよ。,
SAY.Flowchart.517.作業員,,ありがとう！！！\nすまないが、頼んだよ。,
SAY.Flowchart.544.{$player_name},,（ここかな？）,
SAY.Flowchart.549.,,シャベルを見つけた！,
SAY.Flowchart.550.,,作業員のところへ持っていこう。,
SAY.Flowchart.979.作業員,,洞窟の一番奥にあるロッカーに「シャベル」を忘れたんだ。\nすまないが、頼んだよ。,
MENU.Flowchart.555,,シャベルを渡す,
SAY.Flowchart.557.作業員,,{size=50}これは、シャベル！！！{/size},
SAY.Flowchart.558.作業員,,本当にモンスターを倒してシャベルを持って来てくれたのか！！！！！ありがとう！！！,
SAY.Flowchart.561.作業員,,君に頼んで良かったよ。これでまた仕事に戻れそうだ。\nそうだ、何かお礼できることはないかな...,
SAY.Flowchart.560.作業員,,あ、そうだ。\n大したものを持ってなくてすまないが、これをあげるよ。\nきっとどこかで役に立つ！,
SAY.Flowchart.559.,,「レポート」をもらった。,
SAY.Flowchart.562.作業員,,本当に助かったよ。君がどこに行くのかは分からないが、冒険がうまく行くと願ってる！,
SAY.Flowchart.564.,,人助けをした！えらい！,
SAY.Flowchart.572.作業員,,腕が鳴るなあ。今日も1日がんばろう！,
SAY.Flowchart.579.門番,,おっと、ここを簡単に通すわけにはいかないよ。\n君は何者かな？,
SAY.Flowchart.580.門番,,まあいい、君が何者かは私にはどうでも良い話だ。\nこの先は「ナイジェリア」。この世界では監獄のような扱いを受けてる場所だよ。,
SAY.Flowchart.583.門番,,この世界での使命を果たせなかった者たちの狭い世界だ。\n全く情けない...。,
SAY.Flowchart.582.門番,,私はナイジェリアの門番だ。ここを24時間監視している。\nなんでも収監者以外を通すわけにはいかないからね。,
SAY.Flowchart.581.門番,,君はどうも収監者には見えないが...どうかな？レポートも持ってないだろう？,
MENU.Flowchart.585,,レポートを差し出す,
SAY.Flowchart.587.門番,,！！,
SAY.Flowchart.588.門番,,......。,
SAY.Flowchart.589.門番,,チッ、なんだ収監者かよ。,
SAY.Flowchart.590.門番,,入りな。,
SAY.Flowchart.598.,,ナイジェリアに入りますか？,
MENU.Flowchart.597,,入る,
MENU.Flowchart.599,,今はやめておく,
SAY.Flowchart.610.,,（空気が一段と重くなった。）,
SAY.Flowchart.613.,,ついに、ついにか。ハッハッハ。,
SAY.Flowchart.615.ヌシ,,哀れな小僧もそれなりに足は動くようだな。”努力”とでも呼んでやろうか。,
SAY.Flowchart.617.ヌシ,,まあ驚くことはないがな。所詮は私の足元にも到底及ばない程度の小僧だ。,
SAY.Flowchart.619.ヌシ,,ここに来た気持ちはどうだ？{w=1}\n小僧、いや、{s=1}{$player_name}。{/s},
SAY.Flowchart.620.{$player_name},,？！,
SAY.Flowchart.628.ヌシ,,顔と名前は覚えている。多少なり私の記憶に残れたことを感謝したまえ。,
SAY.Flowchart.629.ヌシ,,だが図に乗るなよ。お前は特別でもなんでもない。\n誰であろうが私の前ではただの人間。あるいは、敵か？,
SAY.Flowchart.630.ヌシ,,実績、努力、何も関係ないことさ。\nお前が”この世界を救う勇者”だとでも言おうが、私から見ればそれは”偽りの勇者”。,
SAY.Flowchart.631.ヌシ,,せいぜいその剣を振ってみるんだな。お前の力を見せてみろ。,
SAY.Flowchart.643.,,鋭い一撃でヌシの右腕を薙ぎ払った。,
SAY.Flowchart.646.{$player_name},,剣が落ちた。今だ！＿＿＿＿＿＿＿,
SAY.Flowchart.657.,,「とどめだ！！！」,
SAY.Flowchart.658.,,精一杯に伸びた勇者の刃は、ボスを貫いた。,
SAY.Flowchart.659.,,瞬く閃光、燃えゆく巨体。 その姿はみるみるうちに崩れてゆく。,
SAY.Flowchart.660.,,・・・,
SAY.Flowchart.661.,,＿＿＿＿しかし、そこにボスの声が響いた。,
SAY.Flowchart.665.,,・・・,
SAY.Flowchart.891.,,・・・,
SAY.Flowchart.667.,,・・・,
SAY.Flowchart.662.,,「お前はこのゲームを知っている」,
SAY.Flowchart.668.,,・・・,
SAY.Flowchart.663.,,「ゲーム？なんの話だ…？」,
SAY.Flowchart.669.,,勇者はふと目を向ける。,
SAY.Flowchart.905.,,どこまでも続く光の中に...見覚えのある面影が見えた。,
SAY.Flowchart.671.,,あれは......僕？,
SAY.Flowchart.672.,,「しかし、結末を”覚えて”いなかったようだな。」,
SAY.Flowchart.675.,,その瞬間、背中に大きな刃が突き刺さった。,
SAY.Flowchart.677.{$player_name},,これは、一体….？！,
SAY.Flowchart.678.,,突然の情報量に勇者は混乱した。\n目の前が真っ暗になった。,
SAY.Flowchart.684.,,突如として記憶が流れ込んでくる。,
SAY.Flowchart.685.{$player_name},,これは・・・一階、いや、”キャンパス”？,
SAY.Flowchart.686.{$player_name},,誰かがいる。あれは、僕？,
SAY.Flowchart.687.,,僕のような、誰かがゲームをしている,
SAY.Flowchart.688.,,異世界転生した主人公が勇者として魔王を倒す王道RPG？,
SAY.Flowchart.689.,,ハッとする。気づいた。,
SAY.Flowchart.691.,,僕はこのゲームを遊んだことがある,
SAY.Flowchart.692.,,そして今いる世界は、まぎれもなくあのRPGの世界だ。,
SAY.Flowchart.693.,,僕は異世界転生を果たしたのか＿＿＿＿？,
SAY.Flowchart.695.,,だとすればこれはやはり、僕だ。,
SAY.Flowchart.694.,,そしてこれは、バットエンドだ。,
SAY.Flowchart.696.,,・・・,
SAY.Flowchart.697.,,記憶は続く。,
SAY.Flowchart.698.,,代々木で過ごす自分の姿、一番好きなゲームを遊ぶ自分の姿\nそして、全てを抱えて\n,
SAY.Flowchart.699.,,静かに、この世から消えた自分の姿,
SAY.Flowchart.700.,,今目の前にいるもう一人の自分は、その瞬間の自分にそっくりだった。,
SAY.Flowchart.701.,,自分に、とどめを刺したのか？\n消えゆく視界の中に、失望した僕の残像があった。,
SAY.Flowchart.702.,,・・・,
SAY.Flowchart.703.,,やがて、僕の姿は見えなくなった。\n次の日も、また次の日も。,
SAY.Flowchart.704.,,— ここでニュースをお伝えします。,
SAY.Flowchart.705.,,今朝8時、〇〇駅にて「何者かが駅に飛び込んだが姿を消した」と駅員から通報がありました。点検のため一部路線に遅れが生じましたが、先ほど復旧したとのことです。,
SAY.Flowchart.706.,,これに対し警察は、「飛び込んだ人物の行方を捜索する」と発表しています。—,
SAY.Flowchart.768.,,いらっしゃい。\nおや、見かけない顔だね。新人さんかな？,
SAY.Flowchart.769.,,ここは「冒険者ギルド」だ。\n君も冒険者になりたいなら、あっちで登録を済ませておいで。,
SAY.Flowchart.734.{$player_name},,？！,
SAY.Flowchart.752.受付,,どうしたんだい、冒険者さん。\nギルドの登録はこちらですよ〜,
SAY.Flowchart.756.{$player_name},,これは...,
SAY.Flowchart.757.{$player_name},,"""ロールプレイング""だ......。",
SAY.Flowchart.766.{$player_name},,この世界を、,
SAY.Flowchart.767.{$player_name},,"{punch=3,1}{size=70}あの終わりを変えなければ！！！{/size}{w=2}",
SAY.Flowchart.762.受付,,よーっ！新人さん！\nここは冒険者ギルドだ,
SAY.Flowchart.763.受付,,まずは登録から！\n登録する名前が決まったら声をかけてくれ！,
SAY.Flowchart.765.{$player_name},,受付さん、{w=1}\n{size=60}この村の歴史に一番詳しい人に会わせてください！{/size},
SAY.Flowchart.774.受付,,わ！急に大きな声出すからびっくりしたよ！！\n,
SAY.Flowchart.777.受付,,うーん、詳しい人・・・,
SAY.Flowchart.776.受付,,"あ、""ナレ爺""と話してみるといいんじゃないかな！この村の考古学者なんだ。",
SAY.Flowchart.778.受付,,"ただ会うのが少し難しいかもしれないね...\nあの人はいつも一階にいるんだけど、{w=1}\n""変装癖""があるから。",
MENU.Flowchart.780,,変装癖？,
SAY.Flowchart.783.受付,,"そうなんだよ！あのじいさん、\n今も""この村の人間に扮している""んだ。",
SAY.Flowchart.784.受付,,誰がそんなの気づけるのって。\n研究なのか趣味なのか知らないけど、ほんと困るよねえ。,
SAY.Flowchart.785.受付,,ナレ爺と話したかったら、とにかくひたすらに村の人間に話しかけてみるといいよ...。頑張って！,
SAY.Flowchart.788.受付,,やっべ、さっきの冒険者の登録忘れちまった！,
SAY.Flowchart.789.受付,,ん、{$player_name}...？\nって、いつのまにか登録書類が書かれてる！\nすごいな、あの新人。,
SAY.Flowchart.801.{$player_name},,モンスターが出る危険な森だ。ここにナレ爺はいないだろう。,
SAY.Flowchart.809.{$player_name},,ナレ爺は一階にいるらしい。今はナレ爺を探そう。,
MENU.Flowchart.821,,ナレ爺？,
SAY.Flowchart.823.ナレ爺,,ふぉっふぉっふぉ、呼ばれたら出るまでじゃのう。\nそれが承認欲求というものじゃ。,
SAY.Flowchart.833.ナレ爺,,最近は人間以外の変装にもチャレンジしておっての。少々手間を取らせてしまったかもしれないのう。ふぉっふぉっふぉ。,
SAY.Flowchart.827.ナレ爺,,そうじゃ、わしこそがこの村の考古学者「ナレ爺」じゃ。\nわしを見つけてくれた新人はおぬしが初めて。\nさあ、なんでもなんなりと聞いてくれたまえ。,
SAY.Flowchart.838.,,ここまでの経緯を話した。,
SAY.Flowchart.841.ナレ爺,,そうじゃのう、そういった話は過去に一度だけ聞いたことがある。,
SAY.Flowchart.842.ナレ爺,,異世界から来たと言った勇者がおってな、かつてこの世界を一度救ってくれたんじゃ。\n今は神話として語られるほど昔の話になるがな。,
SAY.Flowchart.843.ナレ爺,,勇者は３つの力を秘めた剣を揃えて携えたそうな。\n夢の剣、友情の剣、そして勇気の剣。\nこれらはひとつなぎに「Y」と呼ばれておった。,
SAY.Flowchart.844.,,"""勇気""、自分が持っている勇気の剣のことだとすれば、\nこの世界にはあと２本、剣がある...",
SAY.Flowchart.845.ナレ爺,,いやあ、しかし勇気の剣を持っているとは。,
SAY.Flowchart.846.ナレ爺,,おぬしの話はでたらめではないのかもしれんのう。\nかつての勇者は残りの２つの剣をも集めたとされている。それを巡ってみてはどうじゃ。,
SAY.Flowchart.847.ナレ爺,,友情の剣はEルームにまつわる伝説でよく耳にする。\nEルームに行くといいじゃろう。,
SAY.Flowchart.849.ナレ爺,,"話せるのはこんなところかのう。\nそれじゃ、頑張ってくれたまえ。""勇者""クン。",
SAY.Flowchart.855.,,Eルームに行ってみよう。,
SAY.Flowchart.864.ナレ爺,,今回は最高記録じゃのう。\n我ながらあっぱれな変装じゃ。,
SAY.Flowchart.870.TA1,,あ...どうしたの...？何か聞きたいことがあるのかな...？,
SAY.Flowchart.871.{$player_name},,あ、別に何も無いですよ、ただ声掛けてみました！,
SAY.Flowchart.872.TA1,,あ、そうなんだね.....！\n...えっと、今日は天気が良いね....,
SAY.Flowchart.873.TA1,,あ、雨だった....,
SAY.Flowchart.874.TA1,,......,
SAY.Flowchart.876.TA田中,,お、{$player_name}君おはよう〜！,
SAY.Flowchart.877.TA田中,,今日も、知恵の輪やってるんだけどさ〜\n全然解けないんだよね〜うーーん,
MENU.Flowchart.880,,ナレ爺？,
SAY.Flowchart.882.TA田中,,勇者くんもやる？,
SAY.Flowchart.883.TA田中,,あ、先生すみません、\nいや、いや、サボってません。許してください,
SAY.Flowchart.886.{$player_name},,もしかして、ナレ爺ですか？,
SAY.Flowchart.887.TA田中,,ん？,
SAY.Flowchart.889.TA田中,,何を変なこと言ってるんですか〜！,
SAY.Flowchart.890.TA田中,,え、もしかして私がお爺さんに見えるってこと？\n校長に言いつけますよ！！,
SAY.Flowchart.893.Sato,,{$player_name}君じゃん！\nそういえば世界が終わるのも後一週間だね...,
SAY.Flowchart.894.Sato,,なんか実感沸かないな...あ、,
SAY.Flowchart.895.Sato,,ヌシとかいうヤバい奴がずっといるから、\n異常事態に慣れてるのかも！！あはは、、,
MENU.Flowchart.898,,ナレ爺？,
SAY.Flowchart.900.{$player_name},,もしかして、、ナレ爺？,
SAY.Flowchart.901.Sato,,えー？なーに言ってんの！！\nそんなわけないじゃーん！,
SAY.Flowchart.902.Sato,,冗談だよね？\n本気で思ってたら、、,
SAY.Flowchart.904.Sato,,分឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵か឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵る឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵よ឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵ね឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵឵？,
SAY.Flowchart.907.Nちゃん,,{$player_name}さんこんにちは！\n今日もヌシうるさいね...,
SAY.Flowchart.908.Nちゃん,,機嫌が悪いのかな？\nまあいっか。いつものことだし。,
SAY.Flowchart.909.Nちゃん,,ん？「この会話をRPGに載せていいかって？」,
SAY.Flowchart.910.Nちゃん,,あ、ちょっと名前はNGで、お願いします。\nNちゃんとかにしといてください。,
SAY.Flowchart.912.斎藤,,{$player_name}じゃん！久しぶり〜,
SAY.Flowchart.913.斎藤,,久しぶり！なんで、パソコンを開いてないの？,
SAY.Flowchart.914.斎藤,,なんか、パソコンのパスワードを忘れちゃって困ってるんだよね...何にしたっけ...,
SAY.Flowchart.916.斎藤,,あ！パスワードは「password」にしたんだ！！\n開いて良かった...ありがとう！,
MENU.Flowchart.919,,ナレ爺？,
SAY.Flowchart.921.{$player_name},,も឵឵឵឵឵し឵឵឵឵឵か឵឵឵឵឵し឵឵឵឵឵て឵឵឵឵឵、឵឵឵឵឵ナ឵឵឵឵឵レ឵឵឵឵឵爺,
SAY.Flowchart.922.斎藤,,は？,
SAY.Flowchart.923.{$player_name},,すみませんなんでもないです,
SAY.Flowchart.926.長谷川,,え！！！！,
SAY.Flowchart.927.長谷川,,人が来た！！\n久しぶりすぎて今感動してるよ！,
SAY.Flowchart.928.長谷川,,この部屋は話しちゃだめだから、人気がないんだよね。,
SAY.Flowchart.929.長谷川,,まあ、そもそもヌシがずっといるからそもそも二階は人気がないんだけどね！！,
SAY.Flowchart.930.長谷川,,え、じゃあ今なんで話してるかって？？,
SAY.Flowchart.959.長谷川,,別に話してないよ？ほら口動いてないでしょ？？,
SAY.Flowchart.960.{$player_name},,（地獄の環境のせいで、テレパシーを身につけてる、、）,
SAY.Flowchart.932.{$player_name},,こんにちは！！今は何してるの？？,
SAY.Flowchart.934.もも,,ごめんね、ももは今集中してるから話しかけないで欲しいな。,
SAY.Flowchart.935.{$player_name},,え、ごめん集中してたんだ。\nそれで、何をしてるの？,
SAY.Flowchart.937.もも,,......,
SAY.Flowchart.938.もも,,音ゲー！！今良い所だから話しかけないで！！,
SAY.Flowchart.939.{$player_name},,あ、ごめん..音ゲー中だったんだね...\nそれで今どの曲をプレイしてるの？？,
SAY.Flowchart.941.もも,,.........,
SAY.Flowchart.942.{$player_name},,そっか集中してるんだった...ごめんごめん\nそれで、どう？今良い感じ？？,
SAY.Flowchart.944.もも,,......,
SAY.Flowchart.945.{$player_name},,あーその曲か！\nちなみに自分は余裕でフルコンボ出来るんだよね！笑,
SAY.Flowchart.947.もも,,.......,
MENU.Flowchart.950,,ナレ爺？,
SAY.Flowchart.953.{$player_name},,あのーところでさ、、\n君って、ナレ爺とかだったりする？,
SAY.Flowchart.964.もも,,..............,
